,GDP\,GDPper\,pop denisty\,Beijing\,GDP,GDPper,pop denisty,Shanghai,GDP,GDPper,pop denisty,Guangdong
1984年,154.9,105.6,547,310436,390.85,110.2,1968,254180,458.74,113.9,313,743630
1985年,183.1,114.5,556,417254,466.75,112,1993,339664,577.38,116.3,318,889634
1986年,216.6,115.6,564,664118,490.83,103,1970,604864,667.53,111.1,323,1472192
1987年,257.1,106.9,571,887696,545.46,106.1,1995,813213,846.69,117,328,2186045
1988年,284.9,104.6,580,1080972,648.3,108.4,2031,1007371,1155.37,114.8,333,2804148
1989年,326.8,106.1,588,1259761,696.54,101.2,2067,1243329,1381.39,105.5,338,3461085
1990年,410.2,111,596,1435836,781.66,101.7,2104,1424609,1559.03,115.2,353,4098203
1991年,456,103.1,610,1636530,893.77,105.6,2128,1596825,1893.3,114.7,363,4695045
1992年,500.8,104,644,1803077,1114.32,113.5,2154,1746586,2447.54,120.1,373,5158255
1993年,598.9,108.9,618,1969411,1519.23,113.8,2179,1913728,3469.28,120.2,386,5638662
1994年,709.1,110.5,622,2146042,1990.86,113.1,2204,2078447,4619.02,117,401,6154027
1995年,886.2,111.4,625,2308803,2518.08,112.9,2230,2225384,5940.34,112.9,411,6786048
1996年,1145.3,112.5,628,2459929,2980.75,111.1,2288,2345414,6848.23,109,421,7260559
1997年,1507.7,105.4,641,2647693,3465.28,109.9,2348,2475456,7792.97,108.4,433,7660037
1998年,1805,103.9,641,2825109,3831,107.5,2409,2588950,8555.33,108.7,444,7994861
1999年,2096.8,110.7,724,2978873,4222.3,107.6,2472,2714257,9289.64,107.1,457,8354627
2000年,2406.2,110.2,728,3186256,4812.15,108.2,2537,2861124,10810.21,107.4,486,8750621
2001年,2713.5,110.3,654,3341059,5257.66,107.1,2631,2954174,12126.59,108.7,486,9116686
2002年,3212.8,107,823,3457114,5795.02,107.9,2702,3051370,13601.89,112.8,492,9424734
2003年,3769.9,106.6,668,3565028,6762.38,109.2,2785,3163759,15959.25,115.7,499,9794643
2004年,4396,109.4,676,3643984,8165.38,110.4,2894,3262630,19005.61,115.7,507,10132373
2005年,5104.1,108.4,683.82,3713492,9365.54,107.8,2981,3339515,22723.29,114.7,511,10495899
2006年,6164.9,111.6,708,3782405,10718.04,109,3098,3400662,26800.32,114.1,525,10983458
2007年,7141.4,109.3,719.5,3845689,12668.89,110.3,3255,3475262,32063.91,111.7,537,11489810
2008年,8312.6,108.9,729.75,3907915,14276.79,105.1,3376,3533287,37138.85,108.4,550,11996703
2009年,10071.9,109.6,739.3,3951320,15287.56,104.8,3486,3577456,39923.24,105.2,563,12281908
2010年,11392,103.6,792.06,3989509,17436.85,106.3,3632,3612903,46544.63,107.3,581,12478845
2011年,12419,104.5,759.14,4044262,19539.07,105.1,3702,3642296,53908.59,107.3,584,12619100
2012年,14441.6,104.9,766.44,4096155,20558.98,105.7,3754,3682383,57924.76,107.5,590,12819182
2013年,16251.93,103.8,778.7,4137802,22264.06,106.3,3809,3727629,63357.92,108.7,592,13070960
2014年,17879.4,105.2,790.6,4291920,24068.2,106.1,3826,3785148,68777.25,107.1,597,13560145
2015年,19800.81,105.3,802.11,4359726,25659.18,107,3809,3881412,73876.37,107.1,604,14422073
2016年,21330.83,105.3,812.5,4711627,28183.51,107,3816,4019351,80666.72,106.2,612,15379588
2017年,23685.7,105.5,819.57,5299075,30133.86,106.8,3814,4387011,89705.23,106,621,16337103
